fecha_libro,descripcion_libro,monto_libro,referencia_libro,cuenta_contable
2026-01-17,PAGO A PROVEEDOR XYZ,-1250.0,LB2000,5901
2026-02-06,PAGO A SERVICIO AGUA,-45200.0,LB2001,1101
2026-01-16,TRANSFERENCIA CLIENTE ALFA,77500.0,LB2002,5202
2026-02-13,EGRESO SERV TEC CR,-60000.0,LB2003,2101
2026-01-05,ABONO CLIENTE NOVA,87500.0,LB2004,4101
2026-02-04,PAGO A PROVEEDOR XYZ,-42000.0,LB2005,5301
2026-01-13,TRANSFERENCIA CLIENTE NOVA,42000.0,LB2006,4101
2026-01-26,ABONO NOVA,-5000.0,LB2007,2101
2026-01-18,INGRESO EFECTIVO CLIENTE DELTA,112500.0,LB2008,2101
2026-02-17,ABONO CLIENTE OMEGA,112500.0,LB2009,1101
2026-01-27,TRANSFERENCIA CLIENTE ALFA,60000.0,LB2010,5301
2026-01-12,GASTO BANCARIO,-3500.0,LB2011,2101
2026-02-08,INGRESO POR CLIENTE DELTA,74500.0,LB2012,5301
2026-01-31,DEPOSITO CLIENTE DELTA,45200.0,LB2013,1101
2026-01-28,INGRESO POR CLIENTE GAMMA,112500.0,LB2014,5301
2026-02-05,AJUSTE CONTABLE,12000.0,LB2015,5901
2026-02-21,COMISION BANCARIA,-3500.0,LB2016,5202
2026-02-27,TRANSF CLIENTE ALFA,74500.0,LB2017,5901
2026-01-24,ABONO CLIENTE DELTA,45200.0,LB2018,5202
2026-01-16,TRANSF CLIENTE NOVA,30000.0,LB2019,1101
2026-02-19,PAGO PROVEEDOR ABC,-74500.0,LB2020,5301
2026-03-04,ABONO CLIENTE SIGMA,95000.0,LB2021,5202
2026-02-01,AJUSTE CONTABLE,12000.0,LB2022,2101
2026-02-10,TRANSFERENCIA CLIENTE NOVA,125000.0,LB2023,1101
2026-01-05,TRANSF CLIENTE ALFA,95000.0,LB2024,5301
2026-02-04,TRANSFERENCIA CLIENTE LUNA,95000.0,LB2025,5202
2026-01-07,GASTO BANCARIO,-2500.0,LB2026,4101
2026-01-04,DEP CLIENTE LUNA,74500.0,LB2027,5901
2026-01-14,TRANSFERENCIA CLIENTE BETA,95000.0,LB2028,5202
2026-02-25,TRANSF CLIENTE LUNA,95000.0,LB2029,1101
