fecha_banco,descripcion_banco,monto_banco,referencia_banco
2026-01-16,PAGO A PROVEEDOR XYZ,-1250.0,TRX1000
2026-02-07,PAGO SERVICIO AGUA,-45200.0,TRX1001
2026-01-13,PAGO TRANSFERENCIA CLIENTE ALFA,77500.0,TRX1002
2026-02-14,PAGO PROVEEDOR SERVICIOS TECNICOS,-60000.0,TRX1003
2026-01-06,TRANSFERENCIA CLIENTE NOVA,87500.0,TRX1004
2026-02-04,EGRESO PROVEEDOR XYZ,-42000.0,TRX1005
2026-01-13,TRANSFERENCIA CLIENTE NOVA,42000.0,TRX1006
2026-01-25,DEPOSITO CLIENTE NOVA,-5000.0,TRX1007
2026-01-18,DEP CLIENTE DELTA,112500.0,TRX1008
2026-02-14,DEP CLIENTE OMEGA,112500.0,TRX1009
2026-01-26,TRANSFERENCIA CLIENTE ALFA,60000.0,TRX1010
2026-01-14,COMISION BANCARIA ENERO,-3500.0,TRX1011
2026-02-05,TRF CLIENTE DELTA,74500.0,TRX1012
2026-02-02,DEPOSITO CLIENTE DELTA,45200.0,TRX1013
2026-01-28,PAGO TRANSFERENCIA CLIENTE GAMMA,112500.0,TRX1014
2026-02-05,REGULARIZACION,12000.0,TRX1015
2026-02-19,COMISION BANCARIA,-3500.0,TRX1016
2026-02-26,TRANSF CLIENTE ALFA,74500.0,TRX1017
2026-01-24,TRANSFERENCIA CLIENTE DELTA,45200.0,TRX1018
2026-01-16,TRANSF CLIENTE NOVA,30000.0,TRX1019
2026-02-19,PAGO A PROVEEDOR ABC,-74500.0,TRX1020
2026-03-01,TRANSF CLIENTE SIGMA,95000.0,TRX1021
2026-01-29,AJUSTE CONTABLE,12000.0,TRX1022
2026-02-07,TRANSF CLIENTE NOVA,125000.0,TRX1023
2026-01-05,TRF CLIENTE ALFA,95000.0,TRX1024
2026-02-04,PAGO TRANSFERENCIA CLIENTE LUNA,95000.0,TRX1025
2026-01-07,COMISION MES,-2500.0,TRX1026
2026-01-04,DEPOSITO CLIENTE LUNA,74500.0,TRX1027
2026-01-13,PAGO TRANSFERENCIA CLIENTE BETA,95000.0,TRX1028
2026-02-25,PAGO TRANSFERENCIA CLIENTE LUNA,95000.0,TRX1029
2026-01-06,PAGO A SERVICIO AGUA,-125000.0,TRX1030
2026-01-11,DEPOSITO CLIENTE SIGMA,125000.0,TRX1031
2026-01-28,REGULARIZACION,7500.0,TRX1032
2026-02-07,TRANSFERENCIA CLIENTE DELTA,125000.0,TRX1033
2026-02-28,TRANSF CLIENTE LUNA,77500.0,TRX1034
2026-02-08,TRANSF CLIENTE GAMMA,87500.0,TRX1035
2026-02-07,REGULARIZACION,-12000.0,TRX1036
2026-01-21,PAGO A TELEFONIA CORPORATIVA,-3500.0,TRX1037
2026-02-11,PAGO TRANSFERENCIA CLIENTE GAMMA,112500.0,TRX1038
2026-02-04,TRF CLIENTE BETA,87500.0,TRX1039
2026-01-24,COMISION BANCARIA,-2500.0,TRX1040
2026-01-01,CANCELACION TELEFONIA CORPORATIVA,-3500.0,TRX1041
2026-02-05,TRF CLIENTE BETA,74500.0,TRX1042
2026-02-13,PAGO TRANSFERENCIA CLIENTE NOVA,95000.0,TRX1043
2026-01-03,TRF CLIENTE SIGMA,30000.0,TRX1044
2026-02-05,REGULARIZACION,5000.0,TRX1045
2026-01-03,TRANSF CLIENTE GAMMA,77500.0,TRX1046
2026-02-27,TRANSF CLIENTE NOVA,125000.0,TRX1047
2026-02-17,TRANSF CLIENTE SIGMA,42000.0,TRX1048
2026-01-12,CARGO BANCARIO,-1250.0,TRX1049
2026-02-25,PAGO TRANSFERENCIA CLIENTE BETA,45250.0,TRX1050
2026-01-23,COMISION BANCARIA,-9800.0,TRX1051
2026-01-18,CANCELACION SERVICIO INTERNET,-250000.0,TRX1052
2026-01-08,DEP CLIENTE NOVA,125000.0,TRX1053
2026-02-16,PAGO TRANSFERENCIA CLIENTE SIGMA,60000.0,TRX1054
2026-01-17,COMISION MES,-2500.0,TRX1055
2026-01-28,ABONO CLIENTE DELTA,60000.0,TRX1056
2026-02-02,COMISION MES,-3500.0,TRX1057
2026-01-09,INGRESO CLIENTE OMEGA,77500.0,TRX1058
2026-01-26,PAGO SERVICIOS TECNICOS CR,-5000.0,TRX1059
2026-01-29,TRANSF CLIENTE NOVA,250000.0,TRX1060
2026-02-02,TRANSFERENCIA CLIENTE BETA,30000.0,TRX1061
2026-01-02,TRANSF CLIENTE DELTA,45200.0,TRX1062
2026-01-30,COMISION MES,-1250.0,TRX1063
2026-01-16,PAGO SERVICIO ELECTRICO,-15400.0,TRX1064
2026-02-05,TRANSFERENCIA CLIENTE LUNA,125000.0,TRX1065
2026-02-18,COMISION MES,-3500.0,TRX1066
2026-02-25,INGRESO CLIENTE GAMMA,74500.0,TRX1067
2026-02-19,CARGO BANCARIO,-3500.0,TRX1068
2026-01-18,ABONO CLIENTE OMEGA,95000.0,TRX1069
2026-01-10,TRANSFERENCIA CLIENTE SIGMA,74500.0,TRX1070
2026-01-04,PAGO TRANSFERENCIA CLIENTE LUNA,45250.0,TRX1071
2026-01-31,AJUSTE CONTABLE,5000.0,TRX1072
2026-02-04,COMISION MES,-9800.0,TRX1073
2026-01-02,TRF CLIENTE SIGMA,250000.0,TRX1074
2026-02-09,TRANSFERENCIA CLIENTE LUNA,45200.0,TRX1075
2026-02-11,PAGO A PROVEEDOR XYZ,-45200.0,TRX1076
2026-01-14,TRF CLIENTE SIGMA,60000.0,TRX1077
2026-02-23,PAGO TRANSFERENCIA CLIENTE SIGMA,30000.0,TRX1078
2026-02-11,DEPOSITO CLIENTE NOVA,95000.0,TRX1079
2026-01-10,TRANSF CLIENTE ALFA,42000.0,TRX1080
2026-02-14,TRF CLIENTE DELTA,250000.0,TRX1081
2026-01-20,PAGO PROVEEDOR ABC,-60000.0,TRX1082
2026-02-15,PAGO SERVICIO INTERNET,-15400.0,TRX1083
2026-02-20,CANCELACION SUMINISTROS DEL VALLE,-95000.0,TRX1084
2026-02-24,INGRESO CLIENTE NOVA,125000.0,TRX1085
2026-02-15,AJUSTE CONTABLE,12000.0,TRX1086
2026-02-21,INGRESO CLIENTE OMEGA,42000.0,TRX1087
2026-01-21,COMISION BANCARIA,-3500.0,TRX1088
2026-02-09,TRF CLIENTE LUNA,42000.0,TRX1089
2026-02-01,CARGO BANCARIO,-2500.0,TRX1090
