fecha_banco,descripcion_banco,monto_banco,referencia_banco
2026-02-01,TRANSFERENCIA CLIENTE A,125000.00,TRX1001
2026-02-02,PAGO PROVEEDOR XYZ,-45250.00,TRX1002
2026-02-03,DEPOSITO EFECTIVO SUCURSAL,30000.00,TRX1003
2026-02-05,COMISION BANCARIA FEBRERO,-1250.00,TRX1004
2026-02-06,TRANSFERENCIA CLIENTE B,87500.00,TRX1005
2026-02-08,PAGO SERVICIO INTERNET,-18900.00,TRX1006
2026-02-10,TRANSFERENCIA CLIENTE C,45200.00,TRX1007
2026-02-12,PAGO PROVEEDOR ABC,-60000.00,TRX1008
2026-02-14,AJUSTE BANCARIO,-5000.00,TRX1009
2026-02-15,DEPOSITO CLIENTE D,95000.00,TRX1010
